user_name,topic,followers,following,verified,post_count,avg_likes,avg_comments,avg_shares,avg_engagement,influencer_score
hoppla,Healthcare,65,410,False,4,762.25,35.75,735.0,538.85,387.45344821130396
remixtures,Healthcare,3524,676,False,8,317.0,12.5,404.25,243.1,185.91264535728695
amandamakepeace,Healthcare,1694,110,True,4,217.5,7.0,129.0,150.315,106.72509727326941
emd,Fitness,480,570,True,2,9.0,68.0,56.0,39.71,47.05951809956745
sunguramy,Healthcare,1353,136,False,3,47.0,6.0,119.33333333333333,49.166666666666664,44.764956101354166
BenjaminHCCarr,Healthcare,2286,604,True,2,33.0,5.0,99.0,41.580000000000005,41.58027437201376
ProPublica,Finance,183489,159,True,9,43.22222222222222,3.2222222222222223,70.55555555555556,40.357777777777784,36.547119382431376
tsyum,Healthcare,645,1086,False,8,37.25,4.5,74.75,34.925,30.545619925567387
dima,Healthcare,95,82,True,4,40.75,7.75,28.0,31.130000000000003,24.199617451592196
geoff_eg,Travel,1866,216,True,12,47.416666666666664,2.9166666666666665,17.333333333333332,29.389166666666668,20.90850287701772
ProPublica,Healthcare,183489,159,True,16,17.25,1.1875,43.9375,19.545625000000005,20.260817299098044
noam,AI,310,176,False,1,2.0,1.0,70.0,15.3,19.210968936826887
lmgenealogy,Healthcare,720,620,False,4,13.5,6.75,37.25,16.225,16.037095870592744
bryanhansel,Travel,5985,430,True,20,26.6,1.45,10.15,17.341500000000003,12.966609483588089
Some_Emo_Chick,Healthcare,10188,263,True,4,15.5,3.0,18.25,13.530000000000001,12.635545557685758
michaelmagras,Healthcare,682,285,False,1,23.0,3.0,16.0,15.600000000000001,11.778974228935619
carlocarrasco.com,Finance,18,0,False,7,0.0,0.0,43.142857142857146,8.62857142857143,11.227380132589252
FediGarden,Travel,4836,4,True,4,16.75,2.0,13.0,12.732500000000002,10.987743245515793
broadwaybabyto,Healthcare,3964,487,False,4,8.0,3.0,26.5,10.200000000000001,10.917789170110343
jonlord,Travel,1046,155,False,7,16.714285714285715,0.42857142857142855,15.857142857142858,11.657142857142857,9.335909774487723
mutualaidspace,Healthcare,42,18,False,4,9.0,0.0,26.0,9.7,9.314180017354035
bich,Finance,1887,910,False,3,10.333333333333334,3.0,18.0,9.666666666666666,9.26482433533915
Nonilex,Finance,10302,2669,False,4,4.75,4.0,20.5,7.675000000000001,9.098528559091761
Lee6,Fitness,905,947,False,11,21.636363636363637,3.0,6.454545454545454,13.009090909090908,9.09408316863372
Nonilex,Healthcare,10302,2669,False,90,10.977777777777778,1.8555555555555556,17.177777777777777,9.481111111111112,9.074361892425095
onlinemarketingscoops.com,Healthcare,5,0,False,3,0.3333333333333333,0.0,31.0,6.366666666666667,8.102097253717542
junesim63,Healthcare,2227,1439,False,5,9.0,0.8,17.4,8.22,8.036328940157077
AGT,Healthcare,608,762,False,7,7.857142857142857,1.7142857142857142,17.428571428571427,7.928571428571429,7.883201311585055
elaterite,Travel,3689,723,False,4,10.25,2.0,13.25,8.375000000000002,7.807007260555187
exeter4christian2church4devon.wordpress.com,AI,2,0,False,6,0.0,0.0,30.166666666666668,6.033333333333332,7.7064585099668825
beadsland,Healthcare,1605,654,False,15,11.733333333333333,1.4666666666666666,12.266666666666667,8.76,7.620558617509339
ai6yr,Travel,9324,3690,True,4,12.0,2.75,4.25,8.4425,7.457799950344484
cavyherd,AI,572,725,False,4,9.0,0.0,16.25,7.75,7.265132857507211
elperronegro,Travel,1239,1214,True,54,12.555555555555555,0.9629629629629629,7.703703703703703,8.252037037037038,7.196856332002183
NotAHopeInHades,Travel,3547,667,False,4,2.0,6.25,12.5,5.375,7.03862090151442
jcrabapple,Healthcare,3676,5099,True,4,8.25,2.0,8.25,7.012499999999999,7.01275065941471
