speaker_id,video_id,audio_file,file_path,duration,sample_rate,channels,format,subtype,label
id10601,pyZmIIfRmvw,00028.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10601\pyZmIIfRmvw\00028.wav,5.3200625,16000,1,WAV,PCM_16,43
id10177,DX8iZlTAv0E,00012.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10177\DX8iZlTAv0E\00012.wav,9.6400625,16000,1,WAV,PCM_16,6
id10853,8zvaRjFD5_w,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10853\8zvaRjFD5_w\00001.wav,6.4400625,16000,1,WAV,PCM_16,63
id10383,r902K8Ky7Oo,00015.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10383\r902K8Ky7Oo\00015.wav,4.9200625,16000,1,WAV,PCM_16,24
id10642,heVp-OhxS44,00024.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10642\heVp-OhxS44\00024.wav,4.6000625,16000,1,WAV,PCM_16,45
id10505,KvWPkKS8yAs,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10505\KvWPkKS8yAs\00003.wav,4.2800625,16000,1,WAV,PCM_16,35
id10789,REx52ZPU_Cg,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10789\REx52ZPU_Cg\00002.wav,4.3600625,16000,1,WAV,PCM_16,57
id10494,TpWhyhL8OeI,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10494\TpWhyhL8OeI\00002.wav,5.0800625,16000,1,WAV,PCM_16,33
id10789,lybyS0jbdrA,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10789\lybyS0jbdrA\00001.wav,5.8400625,16000,1,WAV,PCM_16,57
id10007,foG5a3YtZzI,00007.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10007\foG5a3YtZzI\00007.wav,9.8000625,16000,1,WAV,PCM_16,0
